Node Type,Node Type Accuracy,Full Matching,Full Matching with Right Node Type,Num Samples
Global,0.6057502662548034,0.2882970719648697,0.4759338757658922,1432838
IIfNode,0.5944117397933254,0.3675885143147552,0.6184072246664648,188896
IJSONSerializeNode,0.28255285516696305,0.2539023908318514,0.8986013986013986,5061
INRSendEmailNode,0.0,0.0,0.0,54
IAssignment,0.5768817611688827,0.06683054677714831,0.1158479107429843,448702
ISendEmailNode,0.7762681159420289,0.7762681159420289,1.0,1104
IRaiseExceptionNode,0.803638965552489,0.803638965552489,1.0,19566
IRecordListToExcelNode,0.4995334370139969,0.30855365474339036,0.6176836861768369,3215
IForEachNode,0.5271958971395551,0.3608603004911875,0.6844899636911694,55376
IExcelToRecordListNode,0.6403686039932099,0.22867997736642148,0.3571067912143398,12371
ISQLNode,0.2038194292706376,0.028186863610540576,0.1382933104631218,22883
IAggregateNode,0.5159164674625485,0.1529607223223111,0.29648350453829014,142651
<END>,0.692932220553829,0.692932220553829,1.0,171822
IExecuteServerActionNode,0.672948364276406,0.35821754362211655,0.5323105941527821,354522
IJSONDeserializeNode,0.6323507180650038,0.5242630385487528,0.829070045421946,6615
